NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
3,Goblet,HY_p,0,0,0,10,9,0,16,0,4,0,Goblet,DF_p,538,0,19,0,14,0,0,0,0,19
7,Goblet,AN_p,538,16,76,0,5,0,0,0,0,0,Goblet,AK_p,478,0,65,0,0,7,0,0,6,0
0,Goblet,HP_p,0,53,23,0,0,0,0,0,9,5,Goblet,AK_p,0,33,0,5,0,0,21,0,0,5
3,Goblet,CY_p,0,0,21,0,0,12,9,61,0,0,Goblet,EL_p,568,33,0,5,16,0,0,0,0,0
0,Goblet,HP_p,777,14,0,0,9,14,0,0,0,0,Goblet,AK_p,448,0,60,5,0,0,0,0,0,15
3,Goblet,GE_p,0,0,0,0,0,15,6,33,0,19,Goblet,AK_p,0,0,0,9,0,7,16,40,0,0
48,Goblet,DF_p,0,64,0,6,0,0,0,40,7,0,Goblet,AK_p,508,29,44,10,0,0,0,0,0,0
22,Goblet,CY_p,0,0,37,0,0,0,11,42,7,0,Goblet,AK_p,807,19,0,0,0,0,22,16,0,0
17,Goblet,HY_p,0,54,0,0,9,0,11,0,0,7,Goblet,HY_p,0,35,0,10,10,0,0,0,0,13
47,Goblet,AK_p,0,33,32,16,0,0,0,23,0,0,Goblet,EL_p,478,19,0,9,0,0,0,0,9,0
103,Goblet,PY_p,0,33,19,0,0,0,5,0,13,0,Goblet,EL_p,0,0,42,0,10,5,0,56,0,0
38,Goblet,AK_p,209,33,0,0,0,12,0,0,12,0,Goblet,EL_p,807,29,23,9,0,0,0,0,0,0
48,Goblet,AK_p,239,74,16,0,0,0,12,0,0,0,Goblet,EL_p,837,0,0,0,0,0,6,40,6,0
1,Goblet,DF_p,209,0,39,15,0,0,12,0,0,0,Goblet,CY_p,717,0,0,0,0,7,0,19,11,0
40,Goblet,AK_p,508,0,0,16,0,6,0,44,0,0,Goblet,AK_p,0,0,0,9,0,11,17,0,4,0
1,Goblet,CY_p,0,0,39,0,9,0,5,61,0,0,Goblet,AK_p,0,0,21,10,0,0,15,0,0,19
7,Goblet,HP_p,0,53,0,0,15,7,0,33,0,0,Goblet,AK_p,0,35,0,8,0,0,11,44,0,0
2,Goblet,DF_p,478,51,0,15,5,0,0,0,0,0,Goblet,EL_p,269,27,0,17,13,0,0,0,0,0
11,Goblet,DF_p,0,0,42,5,0,0,0,58,0,13,Goblet,EM_f,0,27,0,10,0,0,5,0,10,0
8,Goblet,AN_p,0,0,0,10,0,0,0,40,3,19,Goblet,AK_p,0,53,0,10,0,0,5,0,0,11
9,Goblet,CY_p,0,31,16,0,15,0,10,0,0,0,Goblet,AK_p,0,0,0,9,0,0,5,21,0,26
1,Goblet,HP_p,538,35,32,0,0,12,0,0,0,0,Goblet,AK_p,538,0,0,8,0,0,11,42,0,0
20,Goblet,AK_p,448,19,0,15,0,0,0,42,0,0,Goblet,AK_p,269,19,0,0,0,17,0,0,0,19
10,Goblet,DF_p,209,18,56,0,0,0,0,0,0,19,Goblet,EL_p,777,51,21,0,0,7,0,0,0,0
2,Goblet,PY_p,0,19,0,0,13,0,5,0,10,0,Goblet,EL_p,0,0,21,0,0,0,18,35,0,12
7,Goblet,HP_p,717,16,39,0,0,14,0,0,0,0,Goblet,AK_p,239,0,21,16,0,0,0,58,0,0
17,Goblet,DF_p,747,29,42,0,0,0,0,0,0,7,Goblet,GE_p,239,0,0,0,22,0,9,0,4,0
7,Goblet,HP_p,0,29,0,0,0,0,11,44,7,0,Goblet,AK_p,299,0,0,9,0,17,11,0,0,0
2,Goblet,PH_p,747,35,19,0,0,0,0,0,0,12,Goblet,PH_p,239,0,0,9,0,0,0,42,0,21
2,Goblet,DF_p,239,62,21,0,0,0,0,65,0,0,Goblet,AK_p,448,31,42,0,0,13,0,0,0,0
1,Goblet,AK_p,0,19,60,14,0,0,0,21,0,0,Goblet,HP_p,299,0,0,0,17,0,0,0,9,14
88,Goblet,AK_p,0,0,67,0,0,0,15,0,4,6,Goblet,EL_p,0,0,35,10,0,0,0,37,8,0
29,Goblet,HP_p,299,0,39,0,24,6,0,0,0,0,Goblet,HP_p,508,16,0,0,0,0,0,40,0,19
0,Goblet,GE_p,0,14,0,11,15,0,16,0,0,0,Goblet,HY_p,747,0,37,5,0,0,0,0,0,23
4,Goblet,CY_p,0,68,0,0,0,14,0,19,0,5,Goblet,AK_p,0,0,0,17,0,0,17,0,3,7
2,Goblet,DF_p,508,14,0,6,0,0,0,77,0,0,Goblet,GE_p,0,14,58,0,0,0,0,40,0,12
27,Goblet,DF_p,448,0,0,0,17,0,6,0,0,12,Goblet,EL_p,0,0,37,9,0,0,17,23,0,0
8,Goblet,AK_p,538,47,0,0,0,17,6,0,0,0,Goblet,AK_p,478,0,0,18,0,0,5,0,0,7
1,Goblet,AN_p,209,66,0,0,6,12,0,0,0,0,Goblet,DF_p,0,27,67,5,10,0,0,0,0,0
7,Goblet,AK_p,0,31,21,0,0,12,17,0,0,0,Goblet,DF_p,299,51,0,0,0,0,0,0,3,20
4,Goblet,HP_p,717,0,42,0,0,12,0,0,0,5,Goblet,HP_p,269,0,62,0,0,0,0,19,0,22
0,Goblet,EL_p,209,0,67,13,10,0,0,0,0,0,Goblet,EL_p,0,0,0,0,20,5,12,0,3,0
56,Goblet,AK_p,299,0,0,0,0,6,17,65,0,0,Goblet,AN_p,0,14,35,0,0,0,0,0,6,20
20,Goblet,DF_p,0,37,0,0,10,0,0,42,0,19,Goblet,AK_p,239,29,0,0,0,0,0,0,14,15
4,Goblet,EM_f,538,0,0,14,0,0,0,0,6,7,Goblet,PH_p,269,45,0,0,0,0,0,0,6,16
2,Goblet,AK_p,209,0,42,0,0,0,6,82,0,0,Goblet,AK_p,209,0,44,0,0,0,17,0,0,14
11,Goblet,AK_p,269,0,0,0,0,0,6,72,6,0,Goblet,AK_p,717,0,0,5,0,5,0,0,0,20
2,Goblet,DF_p,448,0,39,4,0,0,17,0,0,0,Goblet,AK_p,538,27,0,0,0,0,0,58,3,0
7,Goblet,PH_p,508,0,0,0,0,13,0,0,10,5,Goblet,AK_p,0,0,62,0,0,15,11,0,3,0
4,Goblet,EM_f,508,0,58,6,0,0,12,0,0,0,Goblet,PH_p,0,33,0,0,0,0,12,19,0,28
0,Goblet,GE_p,0,29,0,0,0,5,17,42,0,0,Goblet,AN_p,478,0,46,10,9,0,0,0,0,0
13,Goblet,EL_p,0,33,0,20,0,0,12,0,0,7,Goblet,EL_p,0,19,32,0,0,0,0,35,0,19
0,Goblet,PH_p,747,0,0,10,0,0,6,37,0,0,Goblet,HY_p,0,19,58,15,0,0,0,0,0,7
36,Goblet,GE_p,0,39,0,4,0,0,0,0,6,23,Goblet,AK_p,299,0,0,9,0,12,0,0,10,0
